compound,receptor,seed,pose_rank,score_kcal_mol,pose_file
10,8Z8A,20260803,2,-5.587,/das/user/QYJI/druggability/data/gpr81_phase1/phase6_full_series/poses/c10_8Z8A_seed20260803.pdbqt
10,8Z8A,20260803,3,-4.522,/das/user/QYJI/druggability/data/gpr81_phase1/phase6_full_series/poses/c10_8Z8A_seed20260803.pdbqt
10,8Z8A,20260803,4,-4.01,/das/user/QYJI/druggability/data/gpr81_phase1/phase6_full_series/poses/c10_8Z8A_seed20260803.pdbqt
10,8Z8A,20260803,5,-3.859,/das/user/QYJI/druggability/data/gpr81_phase1/phase6_full_series/poses/c10_8Z8A_seed20260803.pdbqt
10,8Z8A,1,1,-5.901,/das/user/QYJI/druggability/data/gpr81_phase1/phase6_full_series/poses/c10_8Z8A_seed1.pdbqt
10,8Z8A,1,2,-5.558,/das/user/QYJI/druggability/data/gpr81_phase1/phase6_full_series/poses/c10_8Z8A_seed1.pdbqt
10,8Z8A,1,3,-4.594,/das/user/QYJI/druggability/data/gpr81_phase1/phase6_full_series/poses/c10_8Z8A_seed1.pdbqt
10,8Z8A,1,4,-4.183,/das/user/QYJI/druggability/data/gpr81_phase1/phase6_full_series/poses/c10_8Z8A_seed1.pdbqt
10,8Z8A,1,5,-3.868,/das/user/QYJI/druggability/data/gpr81_phase1/phase6_full_series/poses/c10_8Z8A_seed1.pdbqt
11,8Z8A,20260803,1,-4.359,/das/user/QYJI/druggability/data/gpr81_phase1/phase6_full_series/poses/c11_8Z8A_seed20260803.pdbqt
11,8Z8A,20260803,2,-3.424,/das/user/QYJI/druggability/data/gpr81_phase1/phase6_full_series/poses/c11_8Z8A_seed20260803.pdbqt
11,8Z8A,20260803,3,-2.524,/das/user/QYJI/druggability/data/gpr81_phase1/phase6_full_series/poses/c11_8Z8A_seed20260803.pdbqt
11,8Z8A,20260803,4,-2.497,/das/user/QYJI/druggability/data/gpr81_phase1/phase6_full_series/poses/c11_8Z8A_seed20260803.pdbqt
11,8Z8A,1,1,-4.333,/das/user/QYJI/druggability/data/gpr81_phase1/phase6_full_series/poses/c11_8Z8A_seed1.pdbqt
11,8Z8A,1,2,-3.324,/das/user/QYJI/druggability/data/gpr81_phase1/phase6_full_series/poses/c11_8Z8A_seed1.pdbqt
11,8Z8A,1,3,-1.999,/das/user/QYJI/druggability/data/gpr81_phase1/phase6_full_series/poses/c11_8Z8A_seed1.pdbqt
12,8Z8A,20260803,1,-4.655,/das/user/QYJI/druggability/data/gpr81_phase1/phase6_full_series/poses/c12_8Z8A_seed20260803.pdbqt
12,8Z8A,20260803,2,-2.913,/das/user/QYJI/druggability/data/gpr81_phase1/phase6_full_series/poses/c12_8Z8A_seed20260803.pdbqt
12,8Z8A,20260803,3,-1.972,/das/user/QYJI/druggability/data/gpr81_phase1/phase6_full_series/poses/c12_8Z8A_seed20260803.pdbqt
12,8Z8A,20260803,4,-1.81,/das/user/QYJI/druggability/data/gpr81_phase1/phase6_full_series/poses/c12_8Z8A_seed20260803.pdbqt
