compound_id,receptor_id,seed,pose_rank,score_kcal_mol,centroid_x,centroid_y,centroid_z
3_OBA,8Z87,5,6,-4.339,97.529,126.743,124.726
3_OBA,8Z87,5,7,-4.292,96.293,134.579,133.955
3_OBA,8Z87,5,8,-4.223,97.83,128.207,126.26
3_OBA,8Z87,6,1,-4.804,96.535,129.775,126.669
3_OBA,8Z87,6,2,-4.458,95.0,128.184,125.86
3_OBA,8Z87,6,3,-4.44,95.861,128.129,125.772
3_OBA,8Z87,6,4,-4.38,96.807,127.832,126.261
3_OBA,8Z87,6,5,-4.35,96.411,134.129,133.884
3_OBA,8Z87,6,6,-4.266,97.666,126.564,124.617
3_OBA,8Z87,6,7,-4.211,97.525,128.298,126.101
3_OBA,8Z87,6,8,-4.211,97.728,126.536,124.764
3_OBA,8Z87,7,1,-4.791,96.556,129.904,126.524
3_OBA,8Z87,7,2,-4.45,94.879,128.299,125.744
3_OBA,8Z87,7,3,-4.423,95.847,128.055,125.975
3_OBA,8Z87,7,4,-4.369,96.592,127.848,126.17
3_OBA,8Z87,7,5,-4.345,96.19,134.142,133.93
3_OBA,8Z87,7,6,-4.338,97.61,126.522,124.644
3_OBA,8Z87,7,7,-4.251,96.646,127.957,126.255
3_OBA,8Z87,7,8,-4.204,97.637,126.625,124.569
3_OBA,9KT9,20260803,1,-4.02,119.353,138.883,156.713
3_OBA,9KT9,20260803,2,-3.954,118.551,137.808,157.395
3_OBA,9KT9,20260803,3,-3.79,121.725,130.432,148.918
3_OBA,9KT9,20260803,4,-3.751,119.679,133.957,149.115
3_OBA,9KT9,20260803,5,-3.723,118.831,134.864,149.51
3_OBA,9KT9,20260803,6,-3.691,118.907,133.814,149.566
3_OBA,9KT9,20260803,7,-3.631,110.465,139.563,148.358
3_OBA,9KT9,20260803,8,-3.574,109.943,139.314,147.689
3_OBA,9KT9,1,1,-3.995,119.591,138.789,156.892
3_OBA,9KT9,1,2,-3.836,118.74,137.728,157.218
3_OBA,9KT9,1,3,-3.787,121.929,130.569,148.838
3_OBA,9KT9,1,4,-3.752,119.429,133.986,149.391
3_OBA,9KT9,1,5,-3.715,118.716,134.884,149.504
3_OBA,9KT9,1,6,-3.695,118.4,133.864,150.95
3_OBA,9KT9,1,7,-3.632,110.204,139.477,148.283
3_OBA,9KT9,1,8,-3.593,110.554,139.866,147.673
3_OBA,9KT9,2,1,-4.012,119.401,138.725,156.695
3_OBA,9KT9,2,2,-3.947,118.576,137.818,157.438
3_OBA,9KT9,2,3,-3.788,122.051,130.513,148.86
3_OBA,9KT9,2,4,-3.752,119.722,134.116,149.066
3_OBA,9KT9,2,5,-3.712,118.793,134.793,149.495
3_OBA,9KT9,2,6,-3.701,118.486,133.633,150.999
3_OBA,9KT9,2,7,-3.656,110.328,139.587,148.187
3_OBA,9KT9,2,8,-3.602,110.671,139.831,147.66
3_OBA,9KT9,3,1,-4.014,119.3,138.853,156.662
3_OBA,9KT9,3,2,-3.953,118.676,137.553,157.569
3_OBA,9KT9,3,3,-3.791,121.821,130.358,148.923
3_OBA,9KT9,3,4,-3.755,119.699,134.141,149.235
3_OBA,9KT9,3,5,-3.712,118.777,134.914,149.504
3_OBA,9KT9,3,6,-3.682,119.177,133.865,149.764
3_OBA,9KT9,3,7,-3.657,110.249,139.515,148.263
3_OBA,9KT9,3,8,-3.596,110.584,139.794,147.601
3_OBA,9KT9,4,1,-4.022,119.458,138.727,156.732
3_OBA,9KT9,4,2,-3.924,118.588,138.085,157.404
3_OBA,9KT9,4,3,-3.818,121.97,130.725,148.91
3_OBA,9KT9,4,4,-3.747,119.544,133.836,149.37
3_OBA,9KT9,4,5,-3.716,118.838,134.87,149.453
3_OBA,9KT9,4,6,-3.678,118.933,133.856,149.783
3_OBA,9KT9,4,7,-3.643,110.385,139.504,148.416
3_OBA,9KT9,4,8,-3.61,110.699,139.851,147.745
3_OBA,9KT9,5,1,-4.017,119.445,138.825,156.693
3_OBA,9KT9,5,2,-3.928,118.526,137.921,157.112
3_OBA,9KT9,5,3,-3.769,121.773,130.43,149.065
3_OBA,9KT9,5,4,-3.76,119.555,134.22,149.212
3_OBA,9KT9,5,5,-3.725,118.836,134.881,149.477
3_OBA,9KT9,5,6,-3.687,118.56,133.866,150.958
3_OBA,9KT9,5,7,-3.659,110.372,139.314,148.316
3_OBA,9KT9,5,8,-3.588,109.807,139.382,147.586
3_OBA,9KT9,6,1,-4.032,119.584,138.884,156.665
3_OBA,9KT9,6,2,-3.926,118.677,137.664,157.627
3_OBA,9KT9,6,3,-3.792,122.109,130.535,148.984
3_OBA,9KT9,6,4,-3.769,119.342,133.927,149.432
3_OBA,9KT9,6,5,-3.717,118.581,133.78,151.098
3_OBA,9KT9,6,6,-3.675,118.788,134.961,149.537
3_OBA,9KT9,6,7,-3.626,110.287,139.584,148.253
3_OBA,9KT9,6,8,-3.603,110.506,139.822,147.631
3_OBA,9KT9,7,1,-4.011,119.543,138.947,156.681
3_OBA,9KT9,7,2,-3.938,118.623,137.672,157.507
3_OBA,9KT9,7,3,-3.78,121.715,130.568,148.921
3_OBA,9KT9,7,4,-3.748,119.473,133.776,149.34
3_OBA,9KT9,7,5,-3.712,118.8,134.916,149.52
3_OBA,9KT9,7,6,-3.666,119.133,134.019,149.655
3_OBA,9KT9,7,7,-3.637,110.256,139.432,148.047
3_OBA,9KT9,7,8,-3.595,110.676,139.88,147.737
3_OBA,8Z8A,20260803,1,-4.625,96.037,129.354,126.348
3_OBA,8Z8A,20260803,2,-4.489,96.575,128.407,125.876
3_OBA,8Z8A,20260803,3,-4.419,95.652,129.009,126.398
3_OBA,8Z8A,20260803,4,-4.383,96.257,127.149,124.846
3_OBA,8Z8A,20260803,5,-4.379,95.607,127.927,125.749
3_OBA,8Z8A,20260803,6,-4.338,93.952,128.214,125.736
3_OBA,8Z8A,20260803,7,-4.197,93.762,128.289,125.539
3_OBA,8Z8A,20260803,8,-4.188,95.803,128.056,125.548
3_OBA,8Z8A,1,1,-4.621,96.126,129.561,126.511
3_OBA,8Z8A,1,2,-4.562,95.983,128.782,126.547
3_OBA,8Z8A,1,3,-4.548,96.53,128.328,125.878
3_OBA,8Z8A,1,4,-4.495,95.965,128.709,126.298
3_OBA,8Z8A,1,5,-4.316,96.608,127.166,124.528
3_OBA,8Z8A,1,6,-4.209,95.732,127.359,124.851
3_OBA,8Z8A,1,7,-4.207,93.718,127.994,125.582
3_OBA,8Z8A,1,8,-4.152,96.784,128.006,125.783
3_OBA,8Z8A,2,1,-4.621,96.165,129.42,126.479
3_OBA,8Z8A,2,2,-4.551,96.178,128.835,126.491
3_OBA,8Z8A,2,3,-4.547,96.693,128.309,125.983
3_OBA,8Z8A,2,4,-4.38,95.576,128.871,126.229
3_OBA,8Z8A,2,5,-4.363,96.45,127.149,124.426
