compound,receptor,seed,pose_rank,score_kcal_mol
36,8Z8A,20260803,3,-3.382
36,8Z8A,20260803,4,-3.278
36,8Z8A,20260803,5,-2.433
36,8Z8A,1,1,-5.087
36,8Z8A,1,2,-3.862
36,8Z8A,1,3,-3.794
36,8Z8A,1,4,-2.443
36,8Z8A,1,5,-2.425
36,8Z8A,2,1,-5.149
36,8Z8A,2,2,-4.187
36,8Z8A,2,3,-3.959
36,8Z8A,2,4,-3.315
36,8Z8A,2,5,-2.991
36,8Z8A,3,1,-5.156
36,8Z8A,3,2,-3.916
36,8Z8A,3,3,-3.361
36,8Z8A,4,1,-5.104
36,8Z8A,4,2,-4.236
36,8Z8A,4,3,-3.922
36,8Z8A,4,4,-3.401
36,8Z8A,4,5,-3.276
36,8Z8A,5,1,-5.197
36,8Z8A,5,2,-4.07
36,8Z8A,5,3,-3.93
36,8Z8A,5,4,-3.425
36,8Z8A,6,1,-5.118
36,8Z8A,6,2,-4.129
36,8Z8A,6,3,-3.979
36,8Z8A,6,4,-3.41
36,8Z8A,6,5,-2.542
36,8Z8A,7,1,-4.73
36,8Z8A,7,2,-3.835
36,8Z8A,7,3,-3.602
36,8Z8A,7,4,-3.473
36,8Z8A,7,5,-3.04
37,8Z8A,20260803,1,-5.151
37,8Z8A,20260803,2,-4.917
37,8Z8A,20260803,3,-3.581
37,8Z8A,20260803,4,-3.41
37,8Z8A,1,1,-5.043
37,8Z8A,1,2,-4.792
37,8Z8A,1,3,-3.541
37,8Z8A,1,4,-3.511
37,8Z8A,1,5,-2.242
37,8Z8A,2,1,-4.551
37,8Z8A,2,2,-3.245
37,8Z8A,2,3,-3.05
37,8Z8A,2,4,-2.056
37,8Z8A,3,1,-5.078
37,8Z8A,3,2,-5.045
37,8Z8A,3,3,-3.727
37,8Z8A,3,4,-3.673
37,8Z8A,3,5,-2.45
37,8Z8A,4,1,-5.078
37,8Z8A,4,2,-4.979
37,8Z8A,4,3,-3.598
37,8Z8A,4,4,-3.254
37,8Z8A,4,5,-2.326
37,8Z8A,5,1,-5.24
37,8Z8A,5,2,-4.916
37,8Z8A,5,3,-3.65
37,8Z8A,5,4,-3.597
37,8Z8A,5,5,-3.224
37,8Z8A,6,1,-4.942
37,8Z8A,6,2,-4.837
37,8Z8A,6,3,-3.639
37,8Z8A,6,4,-2.456
37,8Z8A,7,1,-5.151
37,8Z8A,7,2,-4.648
37,8Z8A,7,3,-3.552
37,8Z8A,7,4,-3.509
37,8Z8A,7,5,-3.492
38,8Z8A,20260803,1,-4.342
38,8Z8A,20260803,2,-4.066
38,8Z8A,20260803,3,-3.607
38,8Z8A,20260803,4,-3.424
38,8Z8A,20260803,5,-2.384
38,8Z8A,1,1,-4.275
38,8Z8A,1,2,-4.012
38,8Z8A,1,3,-2.408
38,8Z8A,1,4,-1.962
38,8Z8A,1,5,-1.315
38,8Z8A,2,1,-4.511
38,8Z8A,2,2,-4.259
38,8Z8A,2,3,-4.076
38,8Z8A,2,4,-2.9
38,8Z8A,2,5,-2.187
38,8Z8A,3,1,-4.394
38,8Z8A,3,2,-4.289
38,8Z8A,3,3,-3.369
38,8Z8A,3,4,-2.639
38,8Z8A,3,5,-1.555
38,8Z8A,4,1,-4.364
38,8Z8A,4,2,-4.252
38,8Z8A,4,3,-3.861
38,8Z8A,4,4,-3.395
38,8Z8A,4,5,-2.78
38,8Z8A,5,1,-3.995
38,8Z8A,5,2,-3.951
