entry_id,name,smiles,ec50_nM,emax_pct,boltz_job_id,boltz_result_url,boltz_exit_code,boltz_affinity_pred_value,boltz_affinity_probability_binary,boltz_confidence_score,boltz_ligand_iptm,boltz_complex_ipde,error
c25,Davidsson 2020 compound 25,CCOc1cc(Cl)c(NC(=O)Nc2nc3ccc(CN4CCN(C)CC4)cc3s2)cc1N1CCOCC1,33000.0,,bb113073-6085-4c04-bd58-03ad41bbdefe,https://biolib.corp.novocorp.net/results/bb113073-6085-4c04-bd58-03ad41bbdefe/,0,1.4220908880233765,0.23047155141830444,0.7566725611686707,0.7933406829833984,2.4726006984710693,
c24,Davidsson 2020 compound 24,CCOc1cc(Cl)c(CNC(=O)Nc2nc3ccc(CN4CCN(C)CC4)cc3s2)cc1N1CCOCC1,33000.0,,c7c5c677-ff76-4cf5-aadf-37f74fee41e3,https://biolib.corp.novocorp.net/results/c7c5c677-ff76-4cf5-aadf-37f74fee41e3/,0,1.0542030334472656,0.08642007410526276,0.8127569556236267,0.9175339937210083,1.0782811641693115,
c26,Davidsson 2020 compound 26,CCOc1cc(Cl)cc(N2CCOCC2)c1-c1cc(-c2nc3ccccc3s2)c(=O)[nH]c1,21.0,,4032382e-608d-4dd7-8f7b-2fa7aeb06d57,https://biolib.corp.novocorp.net/results/4032382e-608d-4dd7-8f7b-2fa7aeb06d57/,0,-0.41798675060272217,0.1033528596162796,0.8454422354698181,0.96531081199646,0.7264185547828674,
c27,Davidsson 2020 compound 27,CCOc1cc(Cl)cc(N2CCOCC2)c1-c1cnc(-c2nc3ccccc3s2)[nH]c1=O,490.0,,219c42a8-8838-4885-a244-dd79530ac400,https://biolib.corp.novocorp.net/results/219c42a8-8838-4885-a244-dd79530ac400/,0,-0.12237751483917236,0.34993281960487366,0.8468295931816101,0.9540932178497314,0.8175799250602722,
c28,Davidsson 2020 compound 28,CCOc1cc(Cl)cc(N2CCOCC2)c1-c1cc(-c2nc3c(s2)CN(C(=O)CO)CC3)c(=O)[nH]c1,22.0,,ce8ab0cd-640f-4a8f-86b1-e789949545ef,https://biolib.corp.novocorp.net/results/ce8ab0cd-640f-4a8f-86b1-e789949545ef/,0,-0.31687605381011963,0.03532186523079872,0.8043130040168762,0.9560783505439758,0.7733527421951294,
c29,Davidsson 2020 compound 29,CCOc1cc(Cl)cc(N2CCOCC2)c1-c1cc(-c2nc3c(s2)CN(C(=O)COC)CC3)c(=O)[nH]c1,75.0,,74beeb54-ef3b-4f38-842b-dfb9e255d496,https://biolib.corp.novocorp.net/results/74beeb54-ef3b-4f38-842b-dfb9e255d496/,0,-0.2995544373989105,0.019678452983498573,0.7896341681480408,0.8646297454833984,1.7571122646331787,
c30,Davidsson 2020 compound 30,CCOc1cc(Cl)cc(N2CCOCC2)c1-c1cc(-c2nc3ccc(S(=O)(=O)C4CCN(C)CC4)cc3s2)c(=O)[nH]c1,5.0,,b82bad69-9d33-449e-854f-3d045dd25dbe,https://biolib.corp.novocorp.net/results/b82bad69-9d33-449e-854f-3d045dd25dbe/,0,-0.03818276524543762,0.014422238804399967,0.7400456666946411,0.7986050844192505,2.7313921451568604,
c31,Davidsson 2020 compound 31,CCOc1cc(Cl)cc(N2CCOCC2)c1-c1cnc(-c2nc3ccc(S(=O)(=O)C4CCN(C)CC4)cc3s2)[nH]c1=O,240.0,,88d96eea-705c-4ddc-b9c4-3d4689a30201,https://biolib.corp.novocorp.net/results/88d96eea-705c-4ddc-b9c4-3d4689a30201/,0,-1.0121078491210938,0.07613004744052887,0.7896556258201599,0.9530044794082642,0.8645972609519958,
c32,Davidsson 2020 compound 32,CCOc1cc(Cl)c(C(=O)Nc2nc3ccc(CN4CCN(C)CC4)cc3s2)cc1N1CCOCC1,410.0,,cae65055-9a6f-4694-9f2c-0ee750e886da,https://biolib.corp.novocorp.net/results/cae65055-9a6f-4694-9f2c-0ee750e886da/,0,0.2944355010986328,0.2266169786453247,0.822003185749054,0.9050946235656738,1.3662184476852417,
c34,Davidsson 2020 compound 34,CCOc1cc(Cl)c(C(=O)Nc2nc3ccc(OC4CCN(C)CC4)cc3s2)cc1N1CCOCC1,110.0,,0af84a27-dd92-4919-97a4-1202702ccde3,https://biolib.corp.novocorp.net/results/0af84a27-dd92-4919-97a4-1202702ccde3/,0,-0.6019154787063599,0.19117212295532227,0.8496152758598328,0.937271773815155,1.059414267539978,
