entry_id,name,series,smiles,chembl_id,status,ec50_uM,ec50_nM,emax_pct,ec50_source,gpr109a_fold,ghsr_fold,lle,sol_uM,potency_rank,tier,tier_basis,dock_8Z8A_best,dock_8Z8A_protocol,region_8Z8A,dock_9KT9_best,region_9KT9,dock_support
c27,Davidsson 2020 compound 27,constrained_analogue_cyclic,CCOc1cc(Cl)cc(N2CCOCC2)c1-c1cnc(-c2nc3ccccc3s2)[nH]c1=O,,reconstructed_and_MS_validated,0.49,490.0,,"paper Table (transcribed, phase1-2 recovery)",45,11,2.4,,31,C,EC50 490 nM > 100; GPR109A 45x; GHSR 11x,-6.577,phase6 2-seed x ex16 x 5poses,TM56_EXTRACELLULAR,-3.549,TM56_EXTRACELLULAR,"negative score, region TM56_EXTRACELLULAR"
c28,Davidsson 2020 compound 28,constrained_analogue_cyclic,CCOc1cc(Cl)cc(N2CCOCC2)c1-c1cc(-c2nc3c(s2)CN(C(=O)CO)CC3)c(=O)[nH]c1,,reconstructed_and_MS_validated,0.022,22.0,,"paper Table (transcribed, phase1-2 recovery)",41,82,5.3,,12,A,EC50 22 nM <= 50; GPR109A 41x; GHSR 82x,-7.443,phase6 2-seed x ex16 x 5poses,TM56_EXTRACELLULAR,-4.899,ORTHO_POCKET,"negative score, region TM56_EXTRACELLULAR"
c29,Davidsson 2020 compound 29,constrained_analogue_cyclic,CCOc1cc(Cl)cc(N2CCOCC2)c1-c1cc(-c2nc3c(s2)CN(C(=O)COC)CC3)c(=O)[nH]c1,,reconstructed_and_MS_validated,0.075,75.0,,"paper Table (transcribed, phase1-2 recovery)",25,667,4.5,,19,B,EC50 75 nM <= 100; GPR109A 25x; GHSR 667x,-7.749,phase6 2-seed x ex16 x 5poses,TM56_EXTRACELLULAR,-3.166,ORTHO_POCKET,"negative score, region TM56_EXTRACELLULAR"
c30,Davidsson 2020 compound 30,constrained_analogue_cyclic,CCOc1cc(Cl)cc(N2CCOCC2)c1-c1cc(-c2nc3ccc(S(=O)(=O)C4CCN(C)CC4)cc3s2)c(=O)[nH]c1,,reconstructed_and_MS_validated,0.005,5.0,,"paper Table (transcribed, phase1-2 recovery)",7.4,,,,5,B,EC50 5 nM <= 50; GPR109A 7.4x,-5.811,phase6 2-seed x ex16 x 5poses,TM56_EXTRACELLULAR,5.687,ORTHO_POCKET,"negative score, region TM56_EXTRACELLULAR"
c31,Davidsson 2020 compound 31,constrained_analogue_cyclic,CCOc1cc(Cl)cc(N2CCOCC2)c1-c1cnc(-c2nc3ccc(S(=O)(=O)C4CCN(C)CC4)cc3s2)[nH]c1=O,,reconstructed_and_MS_validated,0.24,240.0,,"paper Table (transcribed, phase1-2 recovery)",6,,,,25,C,EC50 240 nM > 100; GPR109A 6x,-2.832,phase6 2-seed x ex16 x 5poses,TM56_EXTRACELLULAR,6.076,ORTHO_POCKET,"negative score, region TM56_EXTRACELLULAR"
c32,Davidsson 2020 compound 32,amide,CCOc1cc(Cl)c(C(=O)Nc2nc3ccc(CN4CCN(C)CC4)cc3s2)cc1N1CCOCC1,,reconstructed_and_MS_validated,0.41,410.0,,"paper Table (transcribed, phase1-2 recovery)",27,122,,1.5,30,C,EC50 410 nM > 100; GPR109A 27x; GHSR 122x,-4.236,phase6 2-seed x ex16 x 5poses,TM56_EXTRACELLULAR,-3.851,TM56_EXTRACELLULAR,"negative score, region TM56_EXTRACELLULAR"
c33,Davidsson 2020 compound 33,amide,CCOc1cc(Cl)c(C(=O)Nc2nc3ccc(S(=O)(=O)C4CCN(C)CC4)cc3s2)cc1N1CCOCC1,,reconstructed_and_MS_validated,0.74,740.0,,"paper Table (transcribed, phase1-2 recovery)",12,68,,1,35,C,EC50 740 nM > 100; GPR109A 12x; GHSR 68x,-3.413,phase6 2-seed x ex16 x 5poses,ORTHO_POCKET,3.95,ORTHO_POCKET,"negative score, region ORTHO_POCKET"
c34,Davidsson 2020 compound 34,amide,CCOc1cc(Cl)c(C(=O)Nc2nc3ccc(OC4CCN(C)CC4)cc3s2)cc1N1CCOCC1,,reconstructed_and_MS_validated,0.11,110.0,,"paper Table (transcribed, phase1-2 recovery)",15,273,,5,21,C,EC50 110 nM > 100; GPR109A 15x; GHSR 273x,-5.805,phase6 2-seed x ex16 x 5poses,TM56_EXTRACELLULAR,-3.924,TM56_EXTRACELLULAR,"negative score, region TM56_EXTRACELLULAR"
c35,Davidsson 2020 compound 35,amide,CCOc1cc(Cl)c(C(=O)Nc2nc3ccc(S(=O)(=O)CCCN4CCN(C)CC4)cc3s2)cc1N1CCOCC1,,reconstructed_and_MS_validated,0.6,600.0,,"paper Table (transcribed, phase1-2 recovery)",11,83,,323,33,C,EC50 600 nM > 100; GPR109A 11x; GHSR 83x,-5.189,phase6 2-seed x ex16 x 5poses,ORTHO_POCKET,3.152,ORTHO_POCKET,"negative score, region ORTHO_POCKET"
c36,Davidsson 2020 compound 36,amide,CCOc1cc(Cl)c(C(=O)Nc2nc3ccc(S(=O)(=O)CCCN4CCN(C)CC4)cc3s2)cc1N1CCO[C@H](C)C1,,reconstructed_and_MS_validated,0.16,160.0,,"paper Table (transcribed, phase1-2 recovery)",9,131,,,23,C,EC50 160 nM > 100; GPR109A 9x; GHSR 131x,-5.152,phase6 2-seed x ex16 x 5poses,ORTHO_POCKET,-0.347,ORTHO_POCKET,"negative score, region ORTHO_POCKET"
c37,Davidsson 2020 compound 37,amide,CCOc1cc(Cl)c(C(=O)Nc2nc3ccc(S(=O)(=O)CCCN4CCN(C)CC4)cc3s2)cc1N1C[C@H](C)O[C@@H](C)C1,,reconstructed_and_MS_validated,0.35,350.0,,"paper Table (transcribed, phase1-2 recovery)",,,,,28,C,EC50 350 nM > 100; no selectivity data,-5.151,phase6 2-seed x ex16 x 5poses,ORTHO_POCKET,1.972,ORTHO_POCKET,"negative score, region ORTHO_POCKET"
c38,Davidsson 2020 compound 38,amide,CCOc1cc(Cl)c(C(=O)Nc2nc3ccc(S(=O)(=O)CCCN4CCN(C)CC4)cc3s2)cc1N1C[C@@H](C)O[C@@H](C)C1,,reconstructed_and_MS_validated,0.054,54.0,,"paper Table (transcribed, phase1-2 recovery)",10,500,,95,17,B,EC50 54 nM <= 100; GPR109A 10x; GHSR 500x,-4.491,phase6 2-seed x ex16 x 5poses,ORTHO_POCKET,1.773,ORTHO_POCKET,"negative score, region ORTHO_POCKET"
c39,Davidsson 2020 compound 39,amide,CCOc1cc(Cl)c(C(=O)Nc2nc3ccccc3s2)cc1N1CCOCC1,,reconstructed_and_MS_validated,1.9,1900.0,,"paper Table (transcribed, phase1-2 recovery)",,,,,38,C,EC50 1900 nM > 100; no selectivity data,-6.979,phase6 2-seed x ex16 x 5poses,TM56_EXTRACELLULAR,-5.244,TM56_EXTRACELLULAR,"negative score, region TM56_EXTRACELLULAR"
t01,AZ1_GPR81_agonist_2,lead/tool compound,CCOC1=C(C=C(C(=C1)Cl)C(=O)NC(=O)NC2=NC3=C(S2)C=C(C=C3)S(=O)(=O)C4CCN(CC4)C)N5C=CC=N5,,tool_compound,0.023,23.0,,"ChEMBL 23.0 nM (= paper c1, authoritative)",,,,,14,A,EC50 23 nM <= 50; no selectivity data,-3.94,phase3 5-pose,,-0.843,,"negative score, region None"
t02,GPR81_agonist_1,lead/tool compound,CC1CCC(CC1)C(=O)NC2=NC(=C(S2)CC(=O)N3CCN(CC3)C)C4=CC=CS4,,tool_compound,0.05,50.0,,Takeda 2014 (PMID 24486398) ~50 nM (approx.),,,,,16,A,EC50 50 nM <= 50; no selectivity data,-7.73,phase3 5-pose,,-4.657,,"negative score, region None"
t03,CHBA,lead/tool compound,C1=C(C=C(C=C1O)Cl)C(=O)O,,tool_compound,,,,reference acid; no potency assay in scope,,,,,,,,-5.929,phase3 5-pose,,-5.908,,
t04,3_5_DHBA,lead/tool compound,C1=C(C=C(C=C1O)O)C(=O)O,,tool_compound,,,,reference acid; no potency assay in scope,,,,,,,,-6.28,phase3 5-pose,,-5.649,,
t05,3_OBA,lead/tool compound,CC(CC(=O)O)O,,tool_compound,,,,reference acid; no potency assay in scope,,,,,,,,-4.638,phase3 5-pose,,-4.013,,
lac,L-lactate (endogenous ligand),endogenous,C[C@H](O)C(=O)O,,endogenous ligand,,,,endogenous ligand; mM-range physiological agonist (no assay value in scope),,,,,,,,-4.361,"redock control, 8Z8A (cognate, 2OP); centroid rec. 2.89 A",ORTHO_POCKET (co-crystal),,,
